"Name","Latitude","Longitude","Address"
"West Chester University (North Campus)",39.9514929337869,-75.59765843697,"West Chester University (North Campus), East Rosedale Avenue, West Chester, Chester County, Pennsylvania, 19382, United States"
"West Chester University (South Campus)",39.937440576998,-75.6009181476922,"West Chester University (South Campus), Suplee Way, Yearsleys Hill, Westtown Township, Chester County, Pennsylvania, 19382, United States"
"Chatham University",40.4482161612175,-79.9247956765611,"Chatham University, Fair Oaks Street, Squirrel Hill North, Pittsburgh, Allegheny County, Pennsylvania, 15217, United States"
"Ritter Hall",39.9794099637558,-75.1559764206595,"Temple University, 1801, North Broad Street, North Central, Philadelphia, Philadelphia County, Pennsylvania, 19122, United States"
"Klein Law Building",39.9798674718771,-75.1569363927431,"Temple University, 1801, North Broad Street, North Central, Philadelphia, Philadelphia County, Pennsylvania, 19122, United States"
"Engineering Building",39.9823777706603,-75.1527771079609,"Temple University, 1801, North Broad Street, North Central, Philadelphia, Philadelphia County, Pennsylvania, 19122, United States"
"Penn State Lehigh Valley",40.558778872311,-75.4033502176724,"Penn State Lehigh Valley, Saucon Valley Road, Friedensville, Upper Saucon, Lehigh County, Pennsylvania, 18034, United States"
"Presser Hall",39.983222281755,-75.1542834458329,"Temple University, 1801, North Broad Street, North Central, Philadelphia, Philadelphia County, Pennsylvania, 19122, United States"
"Tyler School of Art",39.9835548518082,-75.1535058582102,"Temple University, 1801, North Broad Street, North Central, Philadelphia, Philadelphia County, Pennsylvania, 19122, United States"
"Kara Alumni House",40.0667419505307,-79.8871877777566,"Kara Alumni House, 2nd Street, Philipsburg, California, Washington County, Pennsylvania, 15419, United States"
"Pennsylvania Western University, California",40.0641787147344,-79.8841185258147,"Pennsylvania Western University, California, 250, University Avenue, Philipsburg, California, Washington County, Pennsylvania, 15419, United States"
"Waynesburg University",39.8991898322363,-80.1865057856261,"Waynesburg University, Fruit Street, Waynesburg, Greene County, Pennsylvania, 15370, United States"
"East Stroudsburg University",40.9982810906338,-75.1671822101058,"Smith Street Field 1, Fine Arts Drive, East Stroudsburg, Monroe County, Pennsylvania, 18301, United States"
"Penn State Univerity Applied Research Lab Anechoic Chamber",40.203754963374,-75.0541772029486,"Penn State Univerity Applied Research Lab Anechoic Chamber, East Bristol Road, Cornell, Northampton Township, Bucks County, Pennsylvania, 18974, United States"
"Messiah University",40.1563521013097,-76.9858548387939,"Bittner Residence Hall, 320, Mountain View Bridge, Mechanicsburg, Cumberland County, Pennsylvania, 17055, United States"
"Penn State Berks",40.3593122833788,-75.9721913761118,"Penn State Berks, Tulpehocken Road, Spring Ridge, Spring Township, Berks County, Pennsylvania, 19610, United States"
"Keystone College",41.7642407450446,-76.4433815304642,"Keystone College, Main Street, Towanda, Bradford County, Pennsylvania, 18848, United States"
"Keystone College",41.7639726715407,-76.4433369334561,"Keystone College, Main Street, Towanda, Bradford County, Pennsylvania, 18848, United States"
"University of the Arts",39.9460124311144,-75.1658758242835,"University of the Arts, Delancey Place, Gayborhood, Center City, Philadelphia, Philadelphia County, Pennsylvania, 19102, United States"
"Pennsylvania College of Technology",41.2355822587308,-77.0259293540169,"Pennsylvania College of Technology, 1st Street, Millionaire's Row, Williamsport, Lycoming County, Pennsylvania, 17702, United States"
"Cheyney University",39.9329874768608,-75.5295667846986,"Cheyney University, Creek Road, Westtown, Thornbury Township, Chester County, Pennsylvania, 19319, United States"
"Duquesne University",40.4381838810021,-79.9920507155528,"Duquesne University, Forbes Avenue, Bluff, Pittsburgh, Allegheny County, Pennsylvania, 15219, United States"
"Duquesne University",40.4381005345168,-79.9896658256562,"Watson Street, Bluff, Pittsburgh, Allegheny County, Pennsylvania, 15219, United States"
"Duquesne University",40.4386728662552,-79.994358151908,"Duquesne University, Sixth Avenue, Chinatown, Downtown, Pittsburgh, Allegheny County, Pennsylvania, 15219, United States"
"Lincoln University",39.8066275882719,-75.9278856608951,"Lincoln University, 1570, Baltimore Pike, Lower Oxford Township, Chester County, Pennsylvania, 19352, United States"
"Widener University",39.8611439076232,-75.3571072206419,"Widener University, 1, East 18th Street, Chester, Delaware County, Pennsylvania, 19013, United States"
"Curtis Institute of Music",39.9488130510143,-75.1706092669182,"Curtis Institute of Music, 1726, Locust Street, Rittenhouse Square, Center City, Philadelphia, Philadelphia County, Pennsylvania, 19103, United States"
"Temple University",39.9807201193464,-75.1556412929681,"Temple University, 1801, North Broad Street, North Central, Philadelphia, Philadelphia County, Pennsylvania, 19122, United States"
"Temple University School of Podiatric Medicine",39.9546268301138,-75.153491440859,"Temple University School of Podiatric Medicine, North 8th Street, Center City, Philadelphia, Philadelphia County, Pennsylvania, 19133, United States"
"Drexel University College Of Medicine",39.9567333546912,-75.1646781817163,"Drexel University - Center City Campus, Race Street, Fashion District Philadelphia, Center City, Philadelphia, Philadelphia County, Pennsylvania, 19103, United States"
"Clarion University",41.2096840412754,-79.3779341897808,"Clarion University, 9th Avenue, Clarion, Clarion County, Pennsylvania, 16214, United States"
"La Roche University",40.5684334630011,-80.0138217883246,"La Roche University, Duncan Avenue, McCandless, Allegheny County, Pennsylvania, 15237, United States"
